dep,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
01,2020-02-24,0,0.0,357.0,0.0,0.0,0.0,202.0,155.0,0.0,0.0,,,,,,
01,2020-02-24,A,0.0,73.0,0.0,,,,,,,,,,,,
01,2020-02-24,B,0.0,155.0,0.0,,,,,,,,,,,,
01,2020-02-24,C,0.0,61.0,0.0,,,,,,,,,,,,
01,2020-02-24,D,0.0,28.0,0.0,,,,,,,,,,,,
01,2020-02-24,E,0.0,40.0,0.0,,,,,,,,,,,,
02,2020-02-24,0,0.0,458.0,0.0,0.0,0.0,246.0,212.0,0.0,0.0,0.0,382.0,0.0,0.0,174.0,208.0
02,2020-02-24,A,0.0,105.0,0.0,,,,,,,0.0,112.0,,,,
02,2020-02-24,B,0.0,163.0,0.0,,,,,,,0.0,154.0,,,,
02,2020-02-24,C,0.0,85.0,0.0,,,,,,,0.0,70.0,,,,
02,2020-02-24,D,0.0,45.0,0.0,,,,,,,0.0,15.0,,,,
02,2020-02-24,E,0.0,60.0,0.0,,,,,,,0.0,22.0,,,,
03,2020-02-24,0,0.0,223.0,0.0,0.0,0.0,108.0,115.0,0.0,0.0,,,,,,
03,2020-02-24,A,0.0,31.0,0.0,,,,,,,,,,,,
03,2020-02-24,B,0.0,86.0,0.0,,,,,,,,,,,,
03,2020-02-24,C,0.0,37.0,0.0,,,,,,,,,,,,
03,2020-02-24,D,0.0,25.0,0.0,,,,,,,,,,,,
03,2020-02-24,E,0.0,44.0,0.0,,,,,,,,,,,,
04,2020-02-24,0,0.0,196.0,0.0,0.0,0.0,102.0,94.0,0.0,0.0,,,,,,
04,2020-02-24,A,0.0,31.0,0.0,,,,,,,,,,,,
04,2020-02-24,B,0.0,66.0,0.0,,,,,,,,,,,,
04,2020-02-24,C,0.0,44.0,0.0,,,,,,,,,,,,
04,2020-02-24,D,0.0,19.0,0.0,,,,,,,,,,,,
04,2020-02-24,E,0.0,36.0,0.0,,,,,,,,,,,,
05,2020-02-24,0,0.0,231.0,0.0,0.0,0.0,129.0,102.0,0.0,0.0,,,,,,
05,2020-02-24,A,0.0,52.0,0.0,,,,,,,,,,,,
05,2020-02-24,B,0.0,89.0,0.0,,,,,,,,,,,,
05,2020-02-24,C,0.0,37.0,0.0,,,,,,,,,,,,
