reg,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
1,2020-02-24,0,,300.0,,,,148.0,152.0,,,,,,,,
1,2020-02-24,A,,75.0,,,,,,,,,,,,,
1,2020-02-24,B,,102.0,,,,,,,,,,,,,
1,2020-02-24,C,,68.0,,,,,,,,,,,,,
1,2020-02-24,D,,20.0,,,,,,,,,,,,,
1,2020-02-24,E,,35.0,,,,,,,,,,,,,
2,2020-02-24,0,,,,,,,,,,,105.0,,,31.0,74.0
2,2020-02-24,A,,,,,,,,,,,28.0,,,,
2,2020-02-24,B,,,,,,,,,,,28.0,,,,
2,2020-02-24,C,,,,,,,,,,,25.0,,,,
2,2020-02-24,D,,,,,,,,,,,9.0,,,,
2,2020-02-24,E,,,,,,,,,,,15.0,,,,
3,2020-02-24,0,,268.0,,,,154.0,114.0,,,,,,,,
3,2020-02-24,A,,83.0,,,,,,,,,,,,,
3,2020-02-24,B,,120.0,,,,,,,,,,,,,
3,2020-02-24,C,,43.0,,,,,,,,,,,,,
3,2020-02-24,D,,17.0,,,,,,,,,,,,,
3,2020-02-24,E,,5.0,,,,,,,,,,,,,
4,2020-02-24,0,,579.0,,,,298.0,281.0,,,,,,,,
4,2020-02-24,A,,155.0,,,,,,,,,,,,,
4,2020-02-24,B,,197.0,,,,,,,,,,,,,
4,2020-02-24,C,,132.0,,,,,,,,,,,,,
4,2020-02-24,D,,46.0,,,,,,,,,,,,,
4,2020-02-24,E,,49.0,,,,,,,,,,,,,
6,2020-02-24,0,,142.0,,,,85.0,57.0,,,,,,,,
6,2020-02-24,A,,47.0,,,,,,,,,,,,,
6,2020-02-24,B,,75.0,,,,,,,,,,,,,
6,2020-02-24,C,,14.0,,,,,,,,,,,,,
6,2020-02-24,D,,5.0,,,,,,,,,,,,,
6,2020-02-24,E,,1.0,,,,,,,,,,,,,
7,2020-02-24,0,,33.0,,,,20.0,13.0,,,,,,,,
7,2020-02-24,A,,4.0,,,,,,,,,,,,,
7,2020-02-24,B,,17.0,,,,,,,,,,,,,
7,2020-02-24,C,,10.0,,,,,,,,,,,,,
7,2020-02-24,D,,2.0,,,,,,,,,,,,,
7,2020-02-24,E,,,,,,,,,,,,,,,
8,2020-02-24,0,,49.0,,,,25.0,24.0,,,,,,,,
8,2020-02-24,A,,8.0,,,,,,,,,,,,,
8,2020-02-24,B,,19.0,,,,,,,,,,,,,
8,2020-02-24,C,,14.0,,,,,,,,,,,,,
8,2020-02-24,D,,5.0,,,,,,,,,,,,,
8,2020-02-24,E,,3.0,,,,,,,,,,,,,
11,2020-02-24,0,,8870.0,,,,4519.0,4350.0,,,,2391.0,,,1055.0,1333.0
11,2020-02-24,A,,2147.0,,,,,,,,,655.0,,,,
11,2020-02-24,B,,3620.0,,,,,,,,,1043.0,,,,
11,2020-02-24,C,,1660.0,,,,,,,,,434.0,,,,
11,2020-02-24,D,,592.0,,,,,,,,,100.0,,,,
11,2020-02-24,E,,851.0,,,,,,,,,138.0,,,,
24,2020-02-24,0,,1734.0,,,,894.0,840.0,,,,517.0,,,239.0,278.0
24,2020-02-24,A,,294.0,,,,,,,,,99.0,,,,
24,2020-02-24,B,,610.0,,,,,,,,,266.0,,,,
24,2020-02-24,C,,355.0,,,,,,,,,101.0,,,,
24,2020-02-24,D,,163.0,,,,,,,,,18.0,,,,
24,2020-02-24,E,,312.0,,,,,,,,,33.0,,,,
27,2020-02-24,0,,2486.0,,,,1340.0,1146.0,,,,410.0,,,205.0,205.0
27,2020-02-24,A,,510.0,,,,,,,,,130.0,,,,
27,2020-02-24,B,,814.0,,,,,,,,,163.0,,,,
27,2020-02-24,C,,484.0,,,,,,,,,66.0,,,,
27,2020-02-24,D,,252.0,,,,,,,,,22.0,,,,
27,2020-02-24,E,,426.0,,,,,,,,,29.0,,,,
28,2020-02-24,0,,2497.0,,,,1264.0,1233.0,,,,706.0,,,302.0,404.0
28,2020-02-24,A,,488.0,,,,,,,,,176.0,,,,
28,2020-02-24,B,,944.0,,,,,,,,,346.0,,,,
28,2020-02-24,C,,511.0,,,,,,,,,100.0,,,,
28,2020-02-24,D,,229.0,,,,,,,,,31.0,,,,
28,2020-02-24,E,,325.0,,,,,,,,,53.0,,,,
32,2020-02-24,0,,3844.0,,,,2009.0,1834.0,,,,1543.0,,,654.0,889.0
32,2020-02-24,A,,850.0,,,,,,,,,453.0,,,,
32,2020-02-24,B,,1450.0,,,,,,,,,740.0,,,,
32,2020-02-24,C,,724.0,,,,,,,,,229.0,,,,
32,2020-02-24,D,,313.0,,,,,,,,,56.0,,,,
32,2020-02-24,E,,507.0,,,,,,,,,54.0,,,,
44,2020-02-24,0,,3590.0,,,,1858.0,1731.0,,,,740.0,,,329.0,408.0
44,2020-02-24,A,,797.0,,,,,,,,,206.0,,,,
44,2020-02-24,B,,1213.0,,,,,,,,,304.0,,,,
44,2020-02-24,C,,715.0,,,,,,,,,128.0,,,,
44,2020-02-24,D,,327.0,,,,,,,,,34.0,,,,
44,2020-02-24,E,,538.0,,,,,,,,,64.0,,,,
52,2020-02-24,0,,1859.0,,,,966.0,893.0,,,,599.0,,,261.0,330.0
52,2020-02-24,A,,388.0,,,,,,,,,131.0,,,,
52,2020-02-24,B,,658.0,,,,,,,,,256.0,,,,
52,2020-02-24,C,,371.0,,,,,,,,,109.0,,,,
52,2020-02-24,D,,159.0,,,,,,,,,31.0,,,,
52,2020-02-24,E,,283.0,,,,,,,,,72.0,,,,
