#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-04-13;Andorre;638;29;128;4.55;20.06;75.39
2020-04-13;Émirats Arabes Unis;4123;22;680;0.53;16.49;82.97
2020-04-13;Afghanistan;607;19;32;3.13;5.27;91.60
2020-04-13;Antigua-et-Barbuda;21;2;0;9.52;0.00;90.48
2020-04-13;Albanie;446;23;217;5.16;48.65;46.19
2020-04-13;Arménie;1039;14;211;1.35;20.31;78.34
2020-04-13;Angola;19;2;4;10.53;21.05;68.42
2020-04-13;Argentine;2208;95;468;4.30;21.20;74.50
2020-04-13;Autriche;13962;350;6987;2.51;50.04;47.45
2020-04-13;Australie;6351;61;1806;0.96;28.44;70.60
2020-04-13;Azerbaïdjan;1098;11;250;1.00;22.77;76.23
2020-04-13;Bosnie-Herzégovine;1018;39;206;3.83;20.24;75.93
2020-04-13;Barbade;71;4;11;5.63;15.49;78.87
2020-04-13;Bangladesh;621;34;39;5.48;6.28;88.24
2020-04-13;Belgique;29647;3600;6463;12.14;21.80;66.06
2020-04-13;Burkina Faso;497;27;161;5.43;32.39;62.17
2020-04-13;Bulgarie;676;31;71;4.59;10.50;84.91
2020-04-13;Bahreïn;1136;6;558;0.53;49.12;50.35
2020-04-13;Burundi;5;0;0;0.00;0.00;100.00
2020-04-13;Bénin;35;1;5;2.86;14.29;82.86
2020-04-13;Saint Barthélemy;6;0;4;0.00;66.67;33.33
2020-04-13;Brunéi Darussalam;136;1;106;0.74;77.94;21.32
2020-04-13;Bolivie;330;27;2;8.18;0.61;91.21
2020-04-13;Brésil;22318;1230;173;5.51;0.78;93.71
2020-04-13;Bahamas;47;8;6;17.02;12.77;70.21
2020-04-13;Bhoutan;5;0;2;0.00;40.00;60.00
2020-04-13;Botswana;13;1;0;7.69;0.00;92.31
2020-04-13;Bélarus;2578;26;203;1.01;7.87;91.12
2020-04-13;Belize;14;2;0;14.29;0.00;85.71
2020-04-13;Canada;24380;717;7172;2.94;29.42;67.64
