dep,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
01,2020-02-24,0.0,0.0,357.0,0.0,0.0,0.0,202.0,155.0,0.0,0.0,,,,,,
01,2020-02-25,0.0,0.0,310.0,0.0,0.0,0.0,177.0,133.0,0.0,0.0,,,,,,
01,2020-02-26,0.0,0.0,366.0,0.0,0.0,0.0,193.0,173.0,0.0,0.0,,,,,,
01,2020-02-27,0.0,0.0,321.0,0.0,0.0,0.0,178.0,143.0,0.0,0.0,,,,,,
01,2020-02-28,0.0,0.0,339.0,0.0,0.0,0.0,166.0,173.0,0.0,0.0,,,,,,
01,2020-02-29,0.0,0.0,283.0,0.0,0.0,0.0,145.0,138.0,0.0,0.0,,,,,,
01,2020-03-01,0.0,0.0,229.0,0.0,0.0,0.0,120.0,109.0,0.0,0.0,,,,,,
01,2020-03-02,0.0,0.0,278.0,0.0,0.0,0.0,130.0,148.0,0.0,0.0,,,,,,
01,2020-03-03,0.0,0.0,300.0,0.0,0.0,0.0,138.0,162.0,0.0,0.0,,,,,,
01,2020-03-04,0.0,0.0,278.0,0.0,0.0,0.0,148.0,130.0,0.0,0.0,,,,,,
01,2020-03-05,0.0,0.0,263.0,0.0,0.0,0.0,117.0,146.0,0.0,0.0,,,,,,
01,2020-03-06,0.0,0.0,270.0,0.0,0.0,0.0,139.0,131.0,0.0,0.0,,,,,,
01,2020-03-07,0.0,0.0,292.0,0.0,0.0,0.0,150.0,142.0,0.0,0.0,,,,,,
01,2020-03-08,0.0,0.0,248.0,0.0,0.0,0.0,140.0,107.0,0.0,0.0,,,,,,
01,2020-03-09,0.0,6.0,335.0,0.0,1.0,5.0,187.0,148.0,0.0,0.0,,,,,,
01,2020-03-10,0.0,0.0,250.0,0.0,0.0,0.0,138.0,112.0,0.0,0.0,,,,,,
01,2020-03-11,0.0,1.0,299.0,1.0,0.0,1.0,161.0,138.0,0.0,1.0,,,,,,
01,2020-03-12,0.0,5.0,272.0,1.0,1.0,4.0,157.0,115.0,0.0,1.0,,,,,,
01,2020-03-13,0.0,6.0,237.0,3.0,3.0,3.0,131.0,106.0,3.0,0.0,,,,,,
01,2020-03-14,0.0,7.0,217.0,3.0,3.0,4.0,126.0,91.0,2.0,1.0,,,,,,
01,2020-03-15,0.0,1.0,235.0,0.0,0.0,1.0,125.0,110.0,0.0,0.0,,,,,,
01,2020-03-16,0.0,2.0,206.0,0.0,1.0,1.0,114.0,92.0,0.0,0.0,,,,,,
01,2020-03-17,0.0,2.0,169.0,1.0,1.0,1.0,85.0,84.0,0.0,1.0,,,,,,
01,2020-03-18,0.0,11.0,141.0,1.0,4.0,7.0,68.0,73.0,1.0,0.0,,,,,,
02,2020-02-24,0.0,0.0,453.0,0.0,0.0,0.0,242.0,211.0,0.0,0.0,0.0,382.0,0.0,0.0,174.0,208.0
02,2020-02-25,0.0,0.0,407.0,0.0,0.0,0.0,215.0,192.0,0.0,0.0,0.0,294.0,0.0,0.0,130.0,164.0
02,2020-02-26,0.0,0.0,452.0,0.0,0.0,0.0,234.0,218.0,0.0,0.0,0.0,319.0,0.0,0.0,145.0,174.0
02,2020-02-27,0.0,0.0,382.0,0.0,0.0,0.0,200.0,182.0,0.0,0.0,0.0,251.0,0.0,0.0,110.0,141.0
02,2020-02-28,0.0,0.0,392.0,0.0,0.0,0.0,189.0,203.0,0.0,0.0,0.0,300.0,0.0,0.0,123.0,177.0
02,2020-02-29,0.0,0.0,402.0,0.0,0.0,0.0,202.0,200.0,0.0,0.0,0.0,317.0,0.0,0.0,112.0,205.0
02,2020-03-01,0.0,5.0,360.0,2.0,4.0,1.0,185.0,175.0,2.0,0.0,0.0,214.0,0.0,0.0,94.0,120.0
02,2020-03-02,0.0,8.0,458.0,4.0,3.0,5.0,236.0,222.0,0.0,4.0,0.0,469.0,0.0,0.0,196.0,273.0
