reg,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
1,2020-02-24,0,0.0,300.0,0.0,0.0,0.0,148.0,152.0,0.0,0.0,,,,,,
1,2020-02-24,A,0.0,75.0,0.0,,,,,,,,,,,,
1,2020-02-24,B,0.0,102.0,0.0,,,,,,,,,,,,
1,2020-02-24,C,0.0,68.0,0.0,,,,,,,,,,,,
1,2020-02-24,D,0.0,20.0,0.0,,,,,,,,,,,,
1,2020-02-24,E,0.0,35.0,0.0,,,,,,,,,,,,
1,2020-02-25,0,0.0,235.0,0.0,0.0,0.0,113.0,122.0,0.0,0.0,,,,,,
1,2020-02-25,A,0.0,84.0,0.0,,,,,,,,,,,,
1,2020-02-25,B,0.0,77.0,0.0,,,,,,,,,,,,
1,2020-02-25,C,0.0,36.0,0.0,,,,,,,,,,,,
1,2020-02-25,D,0.0,12.0,0.0,,,,,,,,,,,,
1,2020-02-25,E,0.0,26.0,0.0,,,,,,,,,,,,
1,2020-02-26,0,0.0,270.0,0.0,0.0,0.0,132.0,138.0,0.0,0.0,,,,,,
1,2020-02-26,A,0.0,74.0,0.0,,,,,,,,,,,,
1,2020-02-26,B,0.0,100.0,0.0,,,,,,,,,,,,
1,2020-02-26,C,0.0,52.0,0.0,,,,,,,,,,,,
1,2020-02-26,D,0.0,19.0,0.0,,,,,,,,,,,,
1,2020-02-26,E,0.0,25.0,0.0,,,,,,,,,,,,
1,2020-02-27,0,0.0,297.0,0.0,0.0,0.0,155.0,142.0,0.0,0.0,,,,,,
1,2020-02-27,A,0.0,72.0,0.0,,,,,,,,,,,,
1,2020-02-27,B,0.0,104.0,0.0,,,,,,,,,,,,
1,2020-02-27,C,0.0,58.0,0.0,,,,,,,,,,,,
1,2020-02-27,D,0.0,20.0,0.0,,,,,,,,,,,,
1,2020-02-27,E,0.0,43.0,0.0,,,,,,,,,,,,
1,2020-02-28,0,0.0,263.0,0.0,0.0,0.0,117.0,146.0,0.0,0.0,,,,,,
1,2020-02-28,A,0.0,68.0,0.0,,,,,,,,,,,,
1,2020-02-28,B,0.0,89.0,0.0,,,,,,,,,,,,
1,2020-02-28,C,0.0,43.0,0.0,,,,,,,,,,,,
1,2020-02-28,D,0.0,20.0,0.0,,,,,,,,,,,,
1,2020-02-28,E,0.0,43.0,0.0,,,,,,,,,,,,
1,2020-02-29,0,0.0,237.0,0.0,0.0,0.0,105.0,132.0,0.0,0.0,,,,,,
1,2020-02-29,A,0.0,57.0,0.0,,,,,,,,,,,,
1,2020-02-29,B,0.0,77.0,0.0,,,,,,,,,,,,
1,2020-02-29,C,0.0,56.0,0.0,,,,,,,,,,,,
1,2020-02-29,D,0.0,22.0,0.0,,,,,,,,,,,,
1,2020-02-29,E,0.0,25.0,0.0,,,,,,,,,,,,
1,2020-03-01,0,0.0,229.0,0.0,0.0,0.0,105.0,124.0,0.0,0.0,,,,,,
1,2020-03-01,A,0.0,64.0,0.0,,,,,,,,,,,,
1,2020-03-01,B,0.0,85.0,0.0,,,,,,,,,,,,
1,2020-03-01,C,0.0,41.0,0.0,,,,,,,,,,,,
1,2020-03-01,D,0.0,19.0,0.0,,,,,,,,,,,,
1,2020-03-01,E,0.0,20.0,0.0,,,,,,,,,,,,
1,2020-03-02,0,0.0,280.0,0.0,0.0,0.0,123.0,157.0,0.0,0.0,,,,,,
1,2020-03-02,A,0.0,85.0,0.0,,,,,,,,,,,,
1,2020-03-02,B,0.0,90.0,0.0,,,,,,,,,,,,
1,2020-03-02,C,0.0,62.0,0.0,,,,,,,,,,,,
1,2020-03-02,D,0.0,25.0,0.0,,,,,,,,,,,,
1,2020-03-02,E,0.0,18.0,0.0,,,,,,,,,,,,
1,2020-03-03,0,0.0,247.0,0.0,0.0,0.0,122.0,125.0,0.0,0.0,,,,,,
